Item,Part Number,QTY,Title,Estimated Cost,REV,Manufacturer,Vendor,Vendor Part Number,Optional,Comments,Keywords
1,ELEV03EA0001,1,Touchscreen,$49.00,V0.3,UPerfect,[AliExpress](https://www.aliexpress.com/item/4000747984746.html),4000747984746,No,7" capacitive touchscreen with speakers,"electrical, sourced, internals, display_assembly"
2,ELEV03RW0002,1,Open CASCADE Shape Model of the PCB,,v0.3,RespiraWorks,[RespiraWorks](https://github.com/RespiraWorks/Ventilator/blob/issue_1011_automated_bom/pcb),,No,RespiraWorks custom PCB,"electrical, custom, internals, display_assembly"
3,ELEV03EM0002,1,Nucleo board,$14.43,v0.3,ST Micro,[Mouser](https://www.mouser.com/ProductDetail/STMicroelectronics/NUCLEO-L452RE?qs=sGAEpiMZZMtw0nEwywcFgEEYp888DlnM1Y5kGes2rJIHvcJjT1ZDkw%3D%3D)  [RSComputing](https://export.rsdelivers.com/product/stmicroelectronics/nucleo-l452re/stmicroelectronics-stm32-nucleo-64-mcu/1261775),511-NUCLEO-L452RE,No,"STM32 Nucleo dev board, DO NOT get the -P version","electrical, sourced, internals, display_assembly"
4,ELEV03EM0003,1,Raspberry Pi Board,$52.23,v0.3,Raspberry Pi,[Mouser](https://www.mouser.com/ProductDetail/Raspberry-Pi/RPI4-MODBP-2GB-BULK?qs=%2Fha2pyFaduiq9oc0d1uK569Mu3%252BsSMVa9bhYkyZbjQ1oNl8pHrdrS2f8pDbixKgb),RPI4-MODBP-2GB,No,Raspberry Pi 4,"electrical, sourced, internals, display_assembly"
5,ELEV03RW0004,1,Interim Board,,v0.3,RespiraWorks,[RespiraWorks](https://github.com/inceptionev/VentilatorRev1InterimDaughtercard),,Yes,RespiraWorks Rev1 interim board,"electrical, custom, internals, display_assembly"
6,MECV03EM0001,4,PCB Lower Standoff,$0.59,v0.3,Wurst Elektronik,[Digikey](https://www.digikey.com/en/products/detail/w-rth-elektronik/971090151/6174614),732-10395-ND,No,"M2.5 standoff, 9mm tall","mechanical, sourced, internals, display_assembly"
7,MECV03EM0002,4,RaspberryPi Upper Standoff,$0.62,v0.3,Wurst Elektronik,[Digikey](https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/971200151/6174654),732-10435-ND,No,"M2.5 standoff, 20mm tall","mechanical, sourced, internals, display_assembly"
8,ELEV03ED0005,2,Stepper Driver Board,$10.64,v0.3,RespiraWorks,[Digikey](https://www.digikey.com/short/z442qt)  [Mouser](https://www.mouser.com/ProductDetail/511-X-NUCLEO-IHM03A1),X-NUCLEO-IHM03A1,No,One-axis stepper driver board,"electrical, sourced, internals, display_assembly"
9,MECV03EM0003,4,Touchscreen Mounting Locknut,$7.70,v0.3,McMaster-Carr,[McMaster-Carr](https://www.mcmaster.com/93625A101/),93625A101,No,M2 lock nut,"mechanical, sourced, internals, display_assembly"
10,MECV03EM0004,4,Touchscreen Mounting Washer Front,$1.06,v0.3,McMaster-Carr,[McMaster-Carr](https://www.mcmaster.com/93475A195/),93475A195,No,"M2 washer, 5mm OD","mechanical, sourced, internals, display_assembly"
11,MECV03EM0005,4,RasberryPi Mounting Screw,$0.05,v0.3,McMaster-Carr,[McMaster-Carr](https://www.mcmaster.com/92095A458/),92095A458,No,"M2.5 screw, 6mm","mechanical, sourced, internals, display_assembly"
12,MECV03EM0006,4,Touchscreen Mounting Screw,$7.44,v0.3,McMaster-Carr,[McMaster-Carr](https://www.mcmaster.com/92095A455/),92095A455,No,"	M2 screw, 12mm","mechanical, sourced, internals, display_assembly"
13,MECV03EM0007,4,Touchscreen Mounting Washer Back,$2.40,v0.3,McMaster-Carr,[McMaster-Carr](https://www.mcmaster.com/91116A240/),91116A240,No,"	M2 washer, 7mm OD","mechanical, sourced, internals, display_assembly"
14,ELEV03EX9001,1,Alternate Stepper Driver Board,$15.00,v0.3,ST Micro,[ST](https://www.st.com/en/ecosystems/x-nucleo-ihm02a1.html#sample-and-buy) [RSComputing](https://export.rsdelivers.com/product/stmicroelectronics/x-nucleo-ihm02a1/stmicroelectronics-x-nucleo-ihm02a1-two-axis/1646982),X-NUCLEO-IHM02A1,Yes,"Two-axis stepper driver board, Alternative to 2x ELEV03ED0005","electrical, sourced, internals, display_assembly, alternate"
